file,speaker,n_ips,n_turns,n_vowels_total,art_rate_median,art_rate_mean,art_rate_sd,sylls_per_ip_median,syl_slope,speech_time_s,pause_time_s,total_duration_s,n_pauses,pause_median_ms,pause_mean_ms,pause_sd_ms,log_pause_median_ms,pauses_per_100_vowels,overall_art_rate,overall_spk_rate,pitch_range_median,pitch_range_mean,pitch_range_sd,pitch_level_median
VAL_M3A_2021_0058,SPEAKER_00,30,6,243,5.389,5.774,2.16,6.5,-0.0585,45.868,22.67,68.538,24,781.0,944.583,639.399,6.661,9.88,5.298,3.545,3.619,3.536,1.937,92.053
VAL_M3A_2021_0058,SPEAKER_01,138,7,1801,5.788,5.869,1.892,11.0,-0.0288,307.111,100.432,407.543,131,612.0,766.657,492.395,6.417,7.27,5.864,4.419,3.734,4.075,1.746,91.674
VAL_M3A_2021_0062,SPEAKER_00,143,4,2004,6.195,6.116,1.926,13.0,-0.0181,336.732,125.741,462.473,139,690.0,904.612,674.793,6.537,6.94,5.951,4.333,5.334,5.571,2.008,89.239
VAL_M3A_2021_0062,SPEAKER_01,5,3,32,7.457,7.17,2.403,6.0,0.4,4.901,1.37,6.271,2,685.0,685.0,235.0,6.529,6.25,6.529,5.103,,,,
VAL_M3A_2021_0064,SPEAKER_00,19,7,208,5.742,5.506,2.02,10.0,-0.4526,35.865,13.12,48.985,12,887.0,1093.333,718.014,6.788,5.77,5.8,4.246,5.464,5.749,1.931,96.691
VAL_M3A_2021_0064,SPEAKER_01,329,8,3250,5.952,6.052,2.03,8.0,-0.0008,549.435,229.831,779.266,321,567.0,715.984,483.763,6.34,9.88,5.915,4.171,5.262,5.457,1.978,96.052
VAL_M3A_2022_0083,SPEAKER_00,40,11,495,4.545,4.774,1.502,10.0,0.2579,101.682,15.937,117.619,29,490.0,549.552,232.848,6.194,5.86,4.868,4.209,3.78,3.547,1.416,91.677
VAL_M3A_2022_0083,SPEAKER_01,142,11,1760,6.193,6.318,2.11,10.0,0.0256,280.458,86.582,367.04,131,550.0,660.931,399.035,6.31,7.44,6.275,4.795,2.904,3.326,1.544,89.742
VAL_M3A_2026_00646,SPEAKER_00,209,7,2908,5.785,5.784,2.061,12.0,0.0025,492.566,100.83,593.395,202,390.0,499.158,310.658,5.966,6.95,5.904,4.901,4.982,5.226,2.121,91.183
VAL_M3A_2026_00646,SPEAKER_01,14,6,171,5.227,5.504,1.554,11.5,0.3011,31.595,3.653,35.248,8,370.0,456.625,250.689,5.914,4.68,5.412,4.851,4.208,4.871,1.635,85.826
VAL_M3B_2021_0019,SPEAKER_00,22,14,214,7.154,7.025,2.437,10.0,-0.2202,32.011,15.34,47.351,8,1025.0,1917.5,2178.966,6.932,3.74,6.685,4.519,3.284,4.995,3.002,89.586
VAL_M3B_2021_0019,SPEAKER_01,172,15,1833,5.397,5.481,1.988,8.0,-0.0029,353.964,143.966,497.93,157,700.0,916.981,695.632,6.551,8.57,5.178,3.681,6.222,6.373,2.527,89.38
VAL_M3B_2021_0024,SPEAKER_00,169,19,1889,6.329,6.266,1.799,10.0,0.0021,306.937,106.198,413.135,150,593.0,707.987,450.062,6.385,7.94,6.154,4.572,4.62,4.582,1.239,89.937
VAL_M3B_2021_0024,SPEAKER_01,31,19,457,5.882,6.35,1.886,12.0,-0.2161,74.486,7.484,81.97,12,535.0,623.667,320.07,6.282,2.63,6.135,5.575,4.201,4.347,1.171,81.62
VAL_M3B_2022_00103,SPEAKER_00,30,21,318,7.621,7.106,2.84,8.5,-0.1731,47.477,5.0,52.477,9,570.0,555.556,256.152,6.346,2.83,6.698,6.06,3.716,3.694,1.265,90.907
VAL_M3B_2022_00103,SPEAKER_01,220,22,2626,7.424,7.379,2.504,10.0,0.0005,360.166,147.039,507.205,198,617.5,742.622,490.605,6.426,7.54,7.291,5.177,4.733,5.123,1.978,91.201
VAL_M3B_2022_0075,SPEAKER_00,357,10,3348,7.061,7.017,2.236,8.0,-0.0017,490.8,236.554,727.354,347,535.0,681.712,773.445,6.282,10.36,6.822,4.603,5.399,5.728,3.054,83.298
VAL_M3B_2022_0075,SPEAKER_01,21,9,229,7.971,7.525,2.318,11.0,-0.0351,30.99,12.105,43.095,12,717.0,1008.75,748.13,6.575,5.24,7.389,5.314,4.523,4.653,1.569,95.364
VAL_M3B_2022_0079,SPEAKER_00,120,14,1061,6.562,6.734,2.449,7.5,0.0285,164.548,100.012,264.56,106,720.0,943.509,733.58,6.579,9.99,6.448,4.01,3.818,4.852,2.852,93.365
VAL_M3B_2022_0079,SPEAKER_01,55,14,689,6.935,6.605,2.16,10.0,0.0435,103.422,31.152,134.574,41,580.0,759.805,518.65,6.363,5.95,6.662,5.12,4.193,4.457,2.609,93.287
